Sargon I,-2400,-2301,before the 24th century
Ur 3 rd Dynasty,-2113,-2006,around 2113 before the year before 2006
Babylon 1st Dynasty,-1894,-1595,around 1894 before the year before 1595
Old Babylonian kingdom,-1894,-1595,around 1894 before the year before 1595
Hammurabi,-1800,-1701,around the 18th century before
Elam people,-700,-3,the previous 3 years@the first half of the 7th century
Old Kingdom,-2200,-27,27 years ago@22nd century ago
Middle Kingdom,-1800,-21,21 years ago@18th century ago
New Kingdom,-1567,-1085,before 1567@1085 years ago
Champollion,1790,1832,1790@1832
Israel kingdom,-922,-722,before 922@722 years ago
Kingdom of Judah,-922,-586,around 922 ago@586 years ago
Babylonian captivity,-586,-538,before 586@538 years ago
Assyria,-612,-2,the previous 2 years ago 612
New Babylonia,-625,-538,before 625@538 years ago
Chaldea,-625,-538,before 625@538 years ago
Media,-731,-550,at the end of the eighth century before 550 years ago
AKEMENES morning,-550,-330,before 550 years ago 330 years
Persian War,-500,-449,the previous 500 years ago 449 years
Grotte Fent,1775,1853,1775@1853
Rowlingson,1810,1895,1810@95
Seleucos morning,-312,-63,before 312 years ago 63 years
Bactria,-255,-139,before 255@previous 139 years
Parthia,-248,224,around 248 ago@224
Arthaketh morning,-248,224,before 248@224
Sasan morning,224,651,224@651
Battle of the Nichiwand,642,642,642
Mani,216,276,around 276@216
Schlieman,1822,1890,1822@90 years
Evans,1851,1941,1851@1941
Ventolis,1922,1956,1922@56
Solon,-640,-560,around 640 ago around 560 a year ago
Solon's Reform,-594,-594,594 years ago
Pacistratos,-600,-528,around 600 years ago 528 years ago
Persian War,-500,-449,the previous 500 years ago 449 years
Battle of Marathon,-490,-490,490 years ago
Battle of Thermopyre,-480,-480,480 years ago
Teimistoku,-528,-462,around 528 before the year before 462
Battle of Salamis,-480,-480,480 years ago
Battle of Platya,-479,-479,479 years ago
Battle of the Batte,-479,-479,479 years ago
Pericles,-495,-429,before 495@before 429 years
Citizenship Act,-451,-451,451 years ago
Peloponnesus War,-431,-404,431 years ago@404 years ago
Sappho,-612,-612,around 612 ago
Anakreon,-570,-570,around 570 ago
Pin Dross,-518,-438,the previous 518 years ago 438 years
Ice Cyrus,-525,-456,before 525 years ago 456 years
Sophocles,-496,-406,before 496 years ago 406 years
Euripides,-485,-406,around 485 before the year before 406
Aristophanes,-450,-385,around 450 ago around 385 years ago
Thales,-624,-546,around 624 before the year before 546
Pythagoras,-582,-497,around 582 around the year before 497
Heraclitus,-544,-544,around 544 before
Democritus,-460,-370,around 460 before the year before 370
Protagoras,-485,-415,around 485 before the year before around 415
Socrates,-469,-399,before 469 years ago 399 years
Plato,-427,-347,before 427@347 years ago
Aristotle,-384,-322,previous 384 years ago 322 years
Hippocrates,-460,-375,around 460 before the year before 375
Herodotus,-485,-425,around 485 before the year before 425
Tukidides,-460,-400,around 460 ago around the year 400
Faedias,-490,-430,around 490 ago@430 th ago
Battle of Chironison,-338,-338,338 years ago
Alexander the Great,-356,-323,before 356@before 323 years
Alexander the Great,-356,-323,before 356@before 323 years
Toho expedition,-334,-324,334 years ago@324 years ago
Persian Expedition,-334,-324,334 years ago@324 years ago
Isss' battle,-333,-333,333 years ago
Battle of Albera,-331,-331,331 years ago
Battle of Gaugamera,-331,-331,331 years ago
Darius III,-380,-330,around 380 before@330 years ago
Battle of Ipsos,-301,-301,301 years ago
Ptolemaic morning,-304,-30,before 304 years@30 years ago
Kingdom of Syria,-312,-63,before 312 years ago
Parthia,-248,224,around 248 ago@224
Bactria,-255,-139,before 255@previous 139 years
Mca bea War,-166,-142,previous 166 years ago 142
Kingdom of Macedonia,-306,-168,before 306@before the early 270's@168 years ago
Hellenistic era,-334,-30,before 334 years ago 30 years
Eucrayides,-300,-300,around 300 years ago
Euclid,-300,-300,around 300 years ago
Aristarchus,-310,-230,circa 310 years ago around 230
Archimedes,-287,-212,around 287 years ago@212 years ago
Eratosthenes,-275,-194,around 275 years ago@194 years ago
Zenon,-335,-263,before 335 years ago 263 years
Epicurus,-342,-271,around 342 before the year ago around 271
Poeni War,-264,-146,before 264@previous 146 years
